train_name,train_type,status,confidence,matched_by,sample_train_no,train_count,row_count,data_quality_flags
CG- SPR  LOC,PASSENGER,REVIEW,0.550,NUMBER_RANGE,34355,1,7,{LIKELY_TRUNCATED}
CG-SDAH LOCA,PASSENGER,REVIEW,0.550,NUMBER_RANGE,34557,1,17,{LIKELY_TRUNCATED}
CG-SPR LOCAL,PASSENGER,REVIEW,0.550,NUMBER_RANGE,34351,1,10,{LIKELY_TRUNCATED}
CGL-AJJ PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,56004,2,9,{LIKELY_TRUNCATED}
CGL-COA CIRC,EXPRESS,REVIEW,0.650,NUMBER_RANGE,17643,1,36,{LIKELY_TRUNCATED}
CGL-KCG EXP,EXPRESS,REVIEW,0.650,NUMBER_RANGE,17651,1,21,{ROUTE_CODE_STYLE}
CGL-MSB EMU,PASSENGER,REVIEW,0.550,NUMBER_RANGE,40502,65,270,{ROUTE_CODE_STYLE}
CGL-TMLP EMU,PASSENGER,REVIEW,0.550,NUMBER_RANGE,40901,1,10,{LIKELY_TRUNCATED}
CH-RKSH PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,54463,1,38,{LIKELY_TRUNCATED}
CHALUKYA EXP,EXPRESS,REVIEW,0.650,NUMBER_RANGE,11006,1,38,{LIKELY_TRUNCATED}
CHAMBAL EXP,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12175,3,99,{}
CHAMBAL EXPR,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12176,1,31,{LIKELY_TRUNCATED}
CHAMUNDI EXP,EXPRESS,REVIEW,0.650,NUMBER_RANGE,16216,1,10,{LIKELY_TRUNCATED}
CHANDAUSI MO,PASSENGER,REVIEW,0.600,NUMBER_RANGE,54313,1,9,{LIKELY_TRUNCATED}
CHANDIGARH E,EXPRESS,REVIEW,0.650,NUMBER_RANGE,19307,1,19,{LIKELY_TRUNCATED}
CHAURICHAURA,EXPRESS,REVIEW,0.650,NUMBER_RANGE,15003,2,59,{LIKELY_TRUNCATED}
CHD - CHRM P,PASSENGER,REVIEW,0.600,NUMBER_RANGE,58222,1,20,{LIKELY_TRUNCATED}
CHDL-UMB PAS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,74992,1,23,{LIKELY_TRUNCATED}
CHEMMOZHI EX,EXPRESS,REVIEW,0.650,NUMBER_RANGE,16616,1,9,{LIKELY_TRUNCATED}
CHENNAI - LT,EXPRESS,REVIEW,0.650,NUMBER_RANGE,11074,1,17,{LIKELY_TRUNCATED}
CHENNAI ADI,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,22919,1,12,{}
CHENNAI EXP,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12164,3,51,{}
CHENNAI EXPR,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12163,2,50,{LIKELY_TRUNCATED}
CHENNAI MAIL,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12602,2,55,{LIKELY_TRUNCATED}
CHENNAI- VAS,EXPRESS,REVIEW,0.650,NUMBER_RANGE,17311,1,24,{LIKELY_TRUNCATED}
CHENNAI-EGMO,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12390,1,17,{LIKELY_TRUNCATED}
CHETAK EXP,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12981,2,42,{}
CHHAPRA EXPR,EXPRESS,REVIEW,0.650,NUMBER_RANGE,11059,1,24,{LIKELY_TRUNCATED}
CHHAPRA-CPA,EXPRESS,REVIEW,0.650,NUMBER_RANGE,18191,1,33,{}
chhapra-math,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,22531,1,22,{LIKELY_TRUNCATED}
CHITRAKOOT E,EXPRESS,REVIEW,0.650,NUMBER_RANGE,15205,2,55,{LIKELY_TRUNCATED}
CHJEMMOZHI D,EXPRESS,REVIEW,0.650,NUMBER_RANGE,16615,1,10,{LIKELY_TRUNCATED}
CHOLAN EXP,EXPRESS,REVIEW,0.650,NUMBER_RANGE,16853,2,38,{}
CHOPAN BARWA,EXPRESS,REVIEW,0.650,NUMBER_RANGE,14372,1,10,{LIKELY_TRUNCATED}
CHRM - BSP P,PASSENGER,REVIEW,0.600,NUMBER_RANGE,58220,1,29,{LIKELY_TRUNCATED}
CHRM - CHD P,PASSENGER,REVIEW,0.600,NUMBER_RANGE,58221,1,20,{LIKELY_TRUNCATED}
CHRM-APR PAS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,51755,1,11,{LIKELY_TRUNCATED}
CHRM-KMZ PAS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,51606,1,28,{LIKELY_TRUNCATED}
CHRM-REWA PA,PASSENGER,REVIEW,0.600,NUMBER_RANGE,51754,1,30,{LIKELY_TRUNCATED}
CHT - MJT LO,PASSENGER,REVIEW,0.550,NUMBER_RANGE,30511,1,14,{LIKELY_TRUNCATED}
CHV-MAQ PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,56661,1,13,{LIKELY_TRUNCATED}
CI-MHC PASSE,PASSENGER,REVIEW,0.600,NUMBER_RANGE,55183,1,27,{LIKELY_TRUNCATED}
CI-THE PASSE,PASSENGER,REVIEW,0.600,NUMBER_RANGE,55184,1,27,{LIKELY_TRUNCATED}
CJ-MSB EMU L,PASSENGER,REVIEW,0.550,NUMBER_RANGE,40802,2,20,{LIKELY_TRUNCATED}
CK1,EMU,REVIEW,0.750,NUMBER_RANGE,97001,1,14,{COACH_CODE_AS_NAME}
CK10,EMU,REVIEW,0.750,NUMBER_RANGE,97148,1,15,{COACH_CODE_AS_NAME}
CK11,EMU,REVIEW,0.750,NUMBER_RANGE,97013,1,13,{COACH_CODE_AS_NAME}
CK13,EMU,REVIEW,0.750,NUMBER_RANGE,97051,1,15,{COACH_CODE_AS_NAME}
CK15,EMU,REVIEW,0.750,NUMBER_RANGE,97077,1,15,{COACH_CODE_AS_NAME}
CK17,EMU,REVIEW,0.750,NUMBER_RANGE,97097,1,15,{COACH_CODE_AS_NAME}
CK19,EMU,REVIEW,0.750,NUMBER_RANGE,97099,1,14,{COACH_CODE_AS_NAME}
CK2,EMU,REVIEW,0.750,NUMBER_RANGE,97042,1,15,{COACH_CODE_AS_NAME}
CK21,EMU,REVIEW,0.750,NUMBER_RANGE,97109,1,14,{COACH_CODE_AS_NAME}
CK23,EMU,REVIEW,0.750,NUMBER_RANGE,97131,1,15,{COACH_CODE_AS_NAME}
CK3,EMU,REVIEW,0.750,NUMBER_RANGE,97003,1,14,{COACH_CODE_AS_NAME}
CK4,EMU,REVIEW,0.750,NUMBER_RANGE,97064,1,15,{COACH_CODE_AS_NAME}
CK5,EMU,REVIEW,0.750,NUMBER_RANGE,97005,1,14,{COACH_CODE_AS_NAME}
